#Hit,Channel,DayTime,Energy,Duration,Amplitude,ASL,FRQC
2579,6,444.8515972,3,135,69,28,302
2580,6,443.6315422,3,113,66,15,373
2581,6,443.630608,4,431,66,15,381
2582,6,443.1078785,4,206,72,15,379
2583,6,443.1054138,8,148,67,15,333
2584,6,442.9603908,2,308,72,25,292
2585,10,442.4938728,0,6,45,26,411
2586,6,442.4243698,3,255,65,15,295
2587,6,442.3240205,6,45,69,19,297
2588,6,442.3228025,0,6,62,19,380
2589,6,442.3216478,7,171,67,19,281
2590,6,441.8925815,7,541,69,26,325
2591,6,441.3987675,5,44,72,25,288
2592,6,441.3794618,2,51,66,26,359
2593,6,441.3784795,4,285,68,26,344
2594,10,441.256498,0,0,45,27,379
2595,10,441.255707,0,0,45,27,412
2596,6,441.22734,2,243,59,27,407
2597,6,440.9992952,2,321,72,27,292
2598,6,440.9945095,5,12,81,27,25
2599,10,440.9587862,1,132,47,27,327
2600,13,440.9156708,0,9,45,21,396
2601,10,440.8352415,2,28,47,27,297
2602,11,440.4632658,0,27,45,25,403
2603,10,440.3434008,0,5,45,27,487
2604,6,440.0281058,5,188,71,15,333
2605,6,440.027081,2,62,67,15,296
2606,12,439.9449705,0,12,45,26,381
2607,11,439.7542978,0,0,45,23,483
2608,6,439.6093065,1,103,53,25,387
2609,6,439.5435878,0,6,60,25,471
2610,10,439.4856515,3,342,48,26,322
2611,12,439.4249345,0,71,45,25,327
2612,6,439.2913245,8,375,71,25,288
2613,6,439.2715245,2,91,71,25,282
2614,6,439.2673995,38,785,87,26,19
2615,5,439.267265,23,636,49,19,358
2616,7,439.2672645,24,645,49,19,354
2617,1,439.267264,24,639,48,19,379
2618,4,439.2672635,23,629,48,19,379
2619,3,439.2672575,22,621,48,19,380
2620,2,439.2672525,22,598,48,15,379
2621,8,439.2672498,21,594,48,15,398
2622,6,439.1645452,0,38,55,36,361
2623,16,439.0177272,2,131,51,21,356
2624,6,438.8906465,0,26,59,36,417
2625,6,438.8880282,0,6,59,36,480
2626,6,438.8856722,5,105,77,36,27
2627,6,438.8674468,5,188,72,36,311
2628,6,438.8648285,4,12,80,36,26
2629,20,438.490961,1,79,47,19,298
2630,12,438.3246462,2,165,48,25,309
2631,6,438.3019195,1,177,68,15,484
2632,6,438.3003395,9,444,78,19,275
2633,6,438.2986715,6,443,74,19,283
2634,6,438.2976288,2,18,69,19,290
2635,6,438.0471285,0,5,57,29,549
2636,6,438.0464085,6,147,75,29,293
2637,12,437.2498805,6,478,47,25,288
2638,11,437.2495542,0,1,46,25,439
2639,18,436.9827942,0,3,45,19,356
2640,6,436.9738825,1,7,73,15,345
2641,6,436.971016,6,204,79,15,30
2642,11,436.7316,1,85,49,25,359
2643,6,436.5940615,2,94,72,28,284
2644,6,436.5930442,0,0,46,28,951
2645,6,436.5910945,7,123,80,28,272
2646,11,436.4595678,0,0,45,25,413
2647,13,436.2618418,0,5,45,21,400
2648,12,436.1443138,0,44,45,25,325
2649,6,435.8988222,2,113,68,15,300
2650,6,435.8945308,5,12,82,21,25
2651,12,435.6877342,6,473,48,26,294
2652,11,435.6874168,0,18,47,25,397
2653,16,435.3189405,2,135,48,21,344
2654,13,435.2096875,0,11,46,21,355
2655,10,435.1443485,3,0,45,27,332
2656,9,433.942017,1,105,46,19,367
2657,6,433.9399968,0,16,61,15,348
2658,12,433.8198565,0,0,45,26,387
2659,11,433.649666,0,10,47,25,387
2660,11,433.206496,5,546,48,25,316
2661,12,433.2055008,0,0,45,25,363
2662,6,433.20117,0,1,45,15,685
2663,6,433.2005685,9,608,71,15,318
2664,12,433.167911,3,248,46,25,319
2665,11,432.320139,0,4,45,25,410
2666,10,432.1271725,0,33,48,27,336
2667,6,432.0120135,3,113,68,15,302
2668,6,432.0111325,12,597,72,15,278
2669,6,432.0095265,3,346,66,15,314
2670,6,432.00601,6,12,82,15,25
2671,6,431.498136,0,3,52,15,621
2672,12,431.1732678,7,331,53,26,305
2673,20,430.535599,0,23,48,19,376
2674,10,430.433887,7,731,47,27,285
2675,11,430.4338012,2,196,48,25,376
2676,11,430.4305685,2,0,45,25,400
2677,6,430.3620672,0,20,59,15,416
2678,6,430.3587642,4,191,72,15,330
2679,6,430.3573145,4,12,79,15,274
2680,12,430.349944,0,5,45,25,318
2681,6,430.215316,6,346,75,28,282
2682,6,430.2130598,4,12,80,28,28
2683,6,430.1938932,6,275,73,32,282
2684,6,430.192251,4,12,79,33,31
2685,6,430.1535425,6,410,71,34,326
2686,6,430.1151372,6,310,76,34,283
2687,6,430.1137558,1,21,69,34,332
2688,6,430.1126225,4,24,74,34,280
2689,16,429.8637995,0,0,45,21,483
2690,16,429.381573,6,247,56,21,298
2691,6,429.3506322,0,6,60,15,476
2692,11,429.039261,1,73,48,23,341
2693,12,427.886004,4,437,46,25,311
2694,6,427.8849105,6,231,77,15,284
2695,6,427.8806105,7,298,77,15,279
2696,6,427.6616888,4,363,67,29,304
2697,6,427.6039732,9,451,67,29,306
2698,6,427.5951865,5,336,69,30,293
2699,22,427.5042242,0,31,50,15,146
2700,13,427.4651495,0,4,47,21,342
2701,10,427.454879,0,25,46,27,325
2702,11,426.2266292,0,106,45,23,431
2703,6,425.4979595,13,576,76,15,349
2704,10,425.4118298,8,485,53,27,221
2705,10,425.1309452,4,19,48,27,282
2706,16,424.97833,0,0,45,21,415
2707,10,424.9393825,0,0,45,28,325
2708,6,424.755159,0,27,65,15,435
2709,6,424.7534805,0,1,49,15,744
2710,6,424.0431062,7,138,71,15,298
2711,6,424.0389045,10,473,71,15,313
2712,12,424.0163938,1,81,48,25,301
2713,6,423.6098158,1,14,69,26,312
2714,11,423.2016632,2,222,48,23,315
2715,6,422.475993,2,176,70,15,324
2716,6,422.4737395,0,7,64,15,350
2717,6,422.4728875,19,425,80,15,287
2718,6,422.2969825,1,36,69,29,279
2719,11,421.6991705,0,38,48,25,405
2720,18,421.4861098,0,10,47,19,311
2721,6,421.3304505,7,168,75,15,287
2722,6,421.3296828,16,424,74,15,282
2723,6,421.3281168,5,60,71,15,277
2724,12,421.3014862,2,31,47,25,329
2725,12,420.8282998,1,99,50,25,338
2726,13,420.8228288,5,357,50,21,307
2727,11,420.57069,6,46,49,25,308
2728,10,420.5692945,0,1,46,27,399
2729,10,419.221141,1,53,47,27,277
2730,13,419.2094928,0,33,47,21,348
2731,6,418.6455898,0,0,45,15,820
2732,6,418.5283615,0,8,59,15,495
2733,6,418.5274258,0,0,49,15,490
2734,6,418.4715132,8,399,70,23,296
2735,6,418.47003,4,12,79,23,273
2736,6,418.1148665,0,20,48,28,591
2737,6,417.9124858,0,252,48,15,462
2738,6,417.910124,0,0,46,15,794
2739,10,417.631802,0,0,45,27,375
2740,6,417.4677435,0,312,54,15,379
2741,6,417.465055,4,395,72,15,396
2742,6,417.462593,5,12,81,15,26
2743,6,417.1873928,0,54,51,30,432
2744,16,416.52385,0,0,45,21,486
2745,10,416.0103098,0,1,47,27,342
2746,6,415.8961882,0,1,50,15,725
2747,6,415.85173,0,1,51,15,720
2748,6,415.6792072,0,178,50,15,702
2749,6,415.6210708,0,2,47,15,707
2750,6,415.5191645,0,405,52,15,669
2751,6,415.2034945,0,0,47,15,714
2752,6,415.2025185,6,432,72,15,346
2753,6,415.1340465,0,7,62,27,488
2754,6,415.0773905,0,2,49,27,710
2755,6,415.0763885,13,396,76,27,324
2756,13,414.7511215,0,5,46,21,406
2757,6,414.692381,7,376,76,28,310
2758,10,414.4081372,1,191,47,27,341
2759,18,414.2558545,1,55,47,19,345
2760,6,414.0771108,0,1,51,15,660
2761,12,413.7616895,4,483,46,25,304
2762,11,413.705632,0,18,46,25,393
2763,13,413.5906468,6,280,53,21,288
2764,6,413.5417152,3,665,71,19,326
2765,11,413.5109,0,17,45,25,414
2766,6,413.5027952,7,150,71,21,285
2767,6,413.4828595,2,275,72,26,288
2768,6,413.4810485,5,12,81,27,28
2769,6,413.4800448,1,93,60,27,366
2770,6,413.3167535,5,225,74,31,289
2771,6,413.3093942,5,12,81,32,29
2772,12,413.147559,14,652,54,25,244
2773,6,413.1268695,0,3,47,34,729
2774,6,413.1089178,1,8,71,34,350
2775,6,413.1075495,0,5,56,34,595
2776,6,413.1069015,6,12,83,34,23
2777,6,413.1052795,9,366,76,36,293
2778,6,412.9909592,0,35,49,36,453
2779,6,412.990247,0,4,53,36,536
2780,6,412.9868718,0,28,57,35,462
2781,6,412.8232145,3,314,69,34,345
2782,6,412.821949,0,5,57,34,629
2783,6,412.8174148,9,17,83,34,314
2784,6,412.8167318,61,1344,90,34,277
2785,7,412.8162182,39,833,51,23,287
2786,4,412.8162165,38,811,51,23,294
2787,3,412.816216,37,808,51,23,301
2788,1,412.816215,38,823,51,23,297
2789,5,412.816214,37,806,51,21,293
2790,2,412.8162082,36,790,51,21,300
2791,8,412.816208,36,60,51,21,312
2792,6,412.8012445,3,93,66,40,333
2793,10,412.482875,0,27,48,27,340
2794,11,412.2590328,0,0,45,25,389
2795,20,412.019615,0,17,45,19,369
2796,13,411.9791688,0,4,45,19,391
